Fish ID,DO,Mass,Length,Condition Factor,Catchability ,bodyL,bodyW,eyeH,headH,caudalW,a,b,c,body ratio,head ratio,caudal ratio,head angle,BlueMean,GreenMean,RedMean,BlueStdDev,GreenStdDev,RedStdDev,BlueMin,GreenMin,RedMin,BlueMax,GreenMax,RedMax,Marks,Area
1,20.5,1.5,55,0.901577761,1,166.1926593,33.01514804,7,26,18.43908891,20,21.26029163,26,0.198655874,0.269230769,0.11095008,78.05582281,78.601125,73.445375,52.6225,8.139125,9.9615,12.07425,66.5,58.625,32.375,95.125,93.125,75.625,8,1.956
3,19.2,1.26,59,0.61349992,1,168.0267836,34.05877273,6.32455532,21,20.09975124,18.43908891,16.64331698,21,0.202698475,0.301169301,0.119622306,73.33652092,68.86466667,71.45408333,66.898,7.739666667,9.709,12.40825,55.33333333,54.5,44.33333333,82.66666667,89.16666667,88.41666667,12,2.3845
5,18.2,1.25,53,0.839619283,1,148.2160585,33.06055051,5.830951895,22.84731932,16.03121954,17.88854382,17.72004515,22.84731932,0.223056468,0.255213831,0.108161151,79.82448916,82.25590909,82.50490909,65.748,13.69827273,16.44845455,19.217,63.90909091,60.36363636,39.63636364,111.6363636,116.8181818,105.1818182,11,1.781727273
6,18.2,0.92,49,0.781987097,1,139.3018306,31,6.32455532,20.88061302,15.29705854,16.1245155,15.23154621,20.88061302,0.222538353,0.302891266,0.10981233,83.45370922,64.1999,64.0151,51.427,7.8634,9.4585,12.5487,52.3,48.9,29.5,78.8,81,72.5,10,1.6794
7,17.9,1.24,54,0.787481583,1,147.0306091,29.01723626,5.099019514,22.47220505,15.03329638,14.4222051,18.35755975,22.47220505,0.197355071,0.22690339,0.102246032,85.66768602,67.10877778,67.51933333,47.65433333,13.33688889,16.174,22.07011111,50.22222222,46.77777778,13.11111111,96.66666667,102.5555556,91.66666667,9,2.348333333
8,17.9,0.75,47,0.722383287,1,130.0038461,26.01922366,4.123105626,19.41648784,13.03840481,13.60147051,14.4222051,19.41648784,0.200141953,0.212350743,0.100292454,87.66269414,75.863,82.9325,70.395625,10.912125,12.82075,15.428,60.375,64.125,44.625,97.375,108,99.375,8,1.865875
9,17.8,1.02,52,0.725421029,1,144.3606595,27.29468813,4.472135955,22.82542442,16.03121954,17.72004515,16.2788206,22.82542442,0.189072897,0.195927833,0.11104978,84.23011494,64.1576,67.5693,53.0151,14.6896,17.5557,21.0905,45.3,43.8,16.9,96.5,105.8,96.8,10,2.5145
10,17.8,1.14,52,0.810764679,1,145,27.07397274,4.123105626,21.37755833,15.29705854,16.64331698,14.76482306,21.37755833,0.186717053,0.192870746,0.105496955,85.56552949,63.277875,63.486625,46.453,9.46525,11.071625,13.767125,48.75,46.375,22.25,81.375,84.5,73,8,1.816875
11,17.7,1.42,57,0.766767642,1,156.2593997,31.01612484,5.385164807,20.22374842,17.11724277,16.40121947,14.76482306,20.22374842,0.198491258,0.266279262,0.109543764,80.73216374,71.6934,70.2052,58.678,5.2736,6.1219,7.9959,61.8,59.6,44.7,83.2,84.3,76.3,10,2.0314
12,17.5,1.58,57,0.853163996,1,159.3141551,34.23448554,6.08276253,22.56102835,19.10497317,17.69180601,19.23538406,22.56102835,0.214886653,0.269613709,0.119920124,75.18788107,76.23125,77.4725,56.98883333,8.609166667,10.48491667,13.9815,63.33333333,61.91666667,35.66666667,91.83333333,96.16666667,82.66666667,12,1.862
13,17.5,1.8,63,0.719864665,1,171.0116955,36.22154055,5,25.07987241,20.09975124,19.10497317,18.60107524,25.07987241,0.211807388,0.199363056,0.117534366,83.37493413,60.1223,60.6785,42.8184,9.2479,10.8094,13.9881,46,44.3,18.5,81.9,86.8,74.4,10,3.3278
14,17.4,1.58,55,0.949661908,1,182.3951754,41,6.08276253,24.33105012,20.09975124,17.02938637,18.60107524,24.33105012,0.224786648,0.25,0.110198919,86.01747943,95.862,97.8162,75.0176,11.1683,13.3777,16.4391,78.2,77.1,48.8,118.8,125.4,108.8,10,2.7767
15,17.3,1.8,61,0.793017918,1,172.002907,35,6.08276253,24.33105012,19.10497317,18.43908891,21.63330765,24.33105012,0.203484933,0.25,0.111073548,74.29136217,93.60318182,93.46172727,73.49154545,13.09772727,15.63854545,18.97727273,72,66.81818182,40.27272727,121.4545455,125.7272727,112.3636364,11,3.390818182
17,17.2,1.54,54,0.978001321,1,152.1610988,31.25699922,7,24,19.23538406,19.84943324,15.8113883,24,0.205420436,0.291666667,0.126414597,83.78077031,96.4913,99.7764,72.34,15.8474,18.4217,21.7629,73.1,72,38,131.3,139.7,119.7,10,2.9915
18,17.2,3.29,73,0.845721395,1,206.0606707,43.01162634,7.071067812,27.01851217,26.47640459,21.21320344,20,27.01851217,0.208732827,0.261711961,0.128488394,81.86989765,69.86642857,69.44257143,47.81985714,13.05742857,15.92657143,18.05885714,49.71428571,44.42857143,15.57142857,98.71428571,105,86.57142857,7,4.028571429
19,17.1,3.35,76,0.763139671,1,208.0024038,44.28317965,6.32455532,28.86173938,25.17935662,25.05992817,19.92485885,28.86173938,0.212897442,0.219132854,0.1210532,78.91510871,89.50136364,83.38118182,65.75672727,8.697545455,10.43272727,11.58809091,75.54545455,66.45454545,43.90909091,112.3636364,111.8181818,94.81818182,11,5.237727273
20,17,1.73,58,0.88667022,1,163.2482772,32.984845,7.280109889,25.3179778,16.4924225,21.09502311,16.55294536,25.3179778,0.20205325,0.287547052,0.101026625,83.58732786,70.79718182,72.73509091,57.52972727,9.994090909,11.31118182,13.47454545,58,57.36363636,37.09090909,91.90909091,96.54545455,84.45454545,11,2.336363636
21,16.9,1.33,51,1.002630964,1,145.0137924,34.13209633,6.08276253,21.09502311,19.10497317,17.02938637,15.26433752,21.09502311,0.235371379,0.288350598,0.131745904,81.37114394,87.62571429,95.17642857,70.56014286,15.124,16.69585714,18.24414286,66.28571429,70.57142857,40.85714286,123.5714286,134.5714286,110.5714286,7,2.985285714
22,16.9,2.43,64,0.926971436,1,182.0686684,43.01162634,6,23.08679276,21.09502311,17.02938637,19.20937271,23.08679276,0.236238485,0.259888849,0.115863005,78.89616656,56.51766667,55.943,48.22455556,6.553,7.556111111,8.891777778,46.55555556,43.66666667,32.33333333,71.22222222,73.11111111,67.66666667,9,4.869111111
24,16.8,2.97,70,0.865889213,1,200.0099998,41.01219331,6.08276253,27.01851217,21.58703314,22.6715681,21.63330765,27.01851217,0.205050714,0.225133142,0.107929769,75.11373315,96.50809091,93.24627273,72.41763636,13.77018182,16.48790909,19.43963636,73.45454545,65.09090909,36.81818182,130,132.1818182,116.9090909,11,4.400545455
25,16.8,1.16,52,0.824988621,1,145.0137924,31.01612484,5.099019514,20.09975124,13.34166406,15.55634919,15.8113883,20.09975124,0.213883965,0.253685702,0.092002725,79.69515353,70.3226,71.9586,52.6149,10.3227,12.2414,17.2605,56.3,55.1,25.8,90,95.6,84.7,10,1.8165
26,16.8,2.16,60,1,1,172.185946,43.01162634,5,25.07987241,21.09502311,21.40093456,17,25.07987241,0.249797543,0.199363056,0.122513037,80.6671303,83.56988889,86.21277778,60.47144444,12.64322222,15.13622222,18.09588889,64,62,29.77777778,108.8888889,116.6666667,96.44444444,9,2.689222222
27,16.8,1.58,54,1.003403953,1,152.8953891,36.87817783,5.099019514,19.92485885,18.11077028,17.49285568,15.5241747,19.92485885,0.241198757,0.255912454,0.118452037,73.96766065,66.9969,69.6491,57.8332,10.4503,12.5653,14.1687,52.7,52.2,36.9,89.1,96.4,87.7,10,2.4853
28,16.8,2.36,65,0.859353664,1,184.1738309,42.29657197,7.071067812,22.20360331,20,19.84943324,17.4642492,22.20360331,0.22965571,0.318464878,0.108593061,72.71499451,73.7879,72.5746,59.0493,10.1394,12.5177,15.106,58.9,54,35.5,97.4,101.9,93.8,10,3.8168
29,16.7,1.98,59,0.964071302,1,169.1064753,38.01315562,7.071067812,21.37755833,18.24828759,17.02938637,17,21.37755833,0.224788291,0.330770601,0.107910046,77.83612863,67.81466667,71.53311111,59.97722222,11.02111111,13.46522222,16.41111111,46.55555556,45.55555556,25.55555556,89.22222222,97.44444444,90.44444444,9,4.586444444
30,16.7,1.71,57,0.923361034,1,158.0031645,32.01562119,6,21.02379604,17.11724277,21.26029163,13.92838828,21.02379604,0.202626456,0.285390896,0.10833481,69.85158586,82.37844444,81.80122222,73.40888889,9.749111111,11.68988889,14.24966667,69,65.77777778,52.66666667,105.1111111,109.3333333,106.2222222,9,2.926444444
31,16.7,2.12,60,0.981481481,1,172.185946,36,5,22.02271555,15.13274595,18.38477631,16.64331698,22.02271555,0.209076297,0.227038305,0.087886069,77.73522627,90.91283333,93.37258333,77.84875,12.58033333,14.33,16.19983333,72.08333333,70.58333333,50.75,118.8333333,124.1666667,110.8333333,12,2.776833333
32,16.7,0.85,48,0.768590856,1,135.9448418,29.06888371,5.385164807,16.76305461,14.03566885,15.26433752,13.34166406,16.76305461,0.213828516,0.321251999,0.103245321,71.38711455,53.095,53.15166667,40.30088889,10.448,12.28611111,14.72944444,40.11111111,38,19,76,79.66666667,70.88888889,9,1.648
33,16.7,3.06,69,0.931481329,1,200,42.04759208,6.32455532,26.07680962,22,19.79898987,20,26.07680962,0.21023796,0.242535625,0.11,81.86989765,84.708875,86.437,65.591875,12.82425,14.156125,14.853875,66,64.875,41.625,114.875,119.125,99.375,8,4.398
34,16.6,1.91,63,0.763856395,1,180.0027778,35.22782991,7,22.09072203,18.97366596,18.43908891,18.86796226,22.09072203,0.195707146,0.316875111,0.105407629,72.60667785,77.25909091,78.56254545,59.70981818,10.11072727,12.86363636,16.79481818,61.54545455,58.72727273,31.36363636,99.27272727,106.6363636,95.72727273,11,3.371454545
35,16.6,4.22,76,0.961328182,1,220.0204536,49.01020302,7.280109889,29.27456234,27.07397274,21.26029163,22.20360331,29.27456234,0.222752941,0.248683817,0.123052072,84.65172779,81.6,80.35425,60.23475,12.776625,16.247,18.0825,61.25,54.875,28.375,109.75,116.75,101.125,8,4.107125
36,16.6,1.52,53,1.020977048,1,156.2049935,37.01351105,6.32455532,23.08679276,16,20,15.65247584,23.08679276,0.236954723,0.273946901,0.102429504,79.69515353,94.43288889,97.76855556,70.53966667,15.36744444,19.16733333,24.34277778,70.66666667,68.22222222,31.44444444,121,131.1111111,112.3333333,9,2.09
37,16.6,2.12,59,1.03223796,1,166.0481858,41.01219331,6.32455532,26.30589288,19.23538406,18.60107524,18.60107524,26.30589288,0.24698971,0.240423518,0.115842181,90,71.93933333,78.61255556,62.68366667,14.78033333,17.79022222,18.54088889,50.55555556,52.11111111,32.11111111,108.7777778,122.3333333,107.4444444,9,4.335444444
38,16.6,1.66,57,0.896362174,1,168.2973559,34.0147027,5.099019514,23.19482701,16.2788206,19.41648784,15.65247584,23.19482701,0.202110737,0.219834341,0.096726538,82.05652819,96.05327273,95.11681818,68.99127273,13.48827273,16.43381818,18.15281818,77.18181818,72.45454545,43.45454545,122.6363636,127.9090909,106.7272727,11,2.120454545
39,16.6,3.06,70,0.89212828,1,200.0099998,44,7.071067812,28.16025568,22,21.21320344,22.20360331,28.16025568,0.219989001,0.25110098,0.1099945,80.83765295,75.982875,75.8645,63.069125,11.146125,12.8,13.752125,57.75,54,38.25,102.875,106.75,96.25,8,7.018125
40,16.6,3.05,68,0.970003053,1,198.022726,46.04345773,6.08276253,27.29468813,19,18.43908891,20.61552813,27.29468813,0.232516028,0.222855176,0.095948583,88.49256424,96.93764286,98.51157143,79.72314286,11.1835,12.57207143,14.67221429,78.85714286,78.71428571,56.14285714,119.6428571,124.0714286,110.9285714,14,3.357071429
41,16.3,1.63,56,0.928161443,1,161.077621,34.05877273,7.071067812,22.36067977,17.2626765,17.80449381,17,22.36067977,0.211443232,0.316227766,0.107169925,79.91526035,73.966875,72.918625,56.735,9.4555,11.61825,14.92675,60,55,31.375,96,99.75,90.625,8,3.00775
42,16,2.82,70,0.822157434,1,195.3688819,43.18564576,6.708203932,26.47640459,22.36067977,21.40093456,20.1246118,26.47640459,0.221046696,0.253365366,0.114453641,79.15969455,108.2342727,109.3827273,82.49509091,14.07590909,17.27963636,21.17427273,83.45454545,79.36363636,43.63636364,137.9090909,145.0909091,122.9090909,11,4.381090909
43,15.9,3.08,73,0.791739178,1,202.2473733,41.01219331,8.544003745,30.3644529,22,25.05992817,22.13594362,30.3644529,0.202782329,0.281381778,0.10877768,79.82448916,91.65363636,88.38581818,71.98581818,8.938909091,10.73363636,13.58954545,72.90909091,65.54545455,41.90909091,108.9090909,108.9090909,95.81818182,11,4.426818182
44,15.9,3.8,75,0.900740741,1,213.1501818,45.04442252,6.08276253,28.28427125,25.07987241,21.9317122,22.47220505,28.28427125,0.21132716,0.215058132,0.117662918,79.12325458,90.20644444,90.62888889,71.624,10.77877778,12.14877778,13.51966667,72.44444444,69.33333333,46.66666667,114,116.8888889,100.8888889,9,5.231444444
45,15.7,2.58,65,0.939462904,1,187.0962319,43.0464865,5.099019514,27.01851217,21.58703314,21.26029163,21.40093456,27.01851217,0.230076715,0.188723179,0.115379305,78.5912818,90.80972727,90.97481818,71.42036364,12.72445455,14.689,16.99054545,69.45454545,66.09090909,40.54545455,118.0909091,122.8181818,107.0909091,11,3.889272727
46,15.6,4.22,78,0.889259765,1,222.2723555,47.09564736,5.099019514,28.44292531,24.18677324,22.8035085,21.47091055,28.44292531,0.211882612,0.179271979,0.108815931,79.88355695,85.24872727,84.76136364,72.56581818,9.170636364,11.63718182,12.15463636,68.81818182,63.54545455,47.90909091,107.7272727,112.9090909,100.3636364,11,6.515363636
47,15.5,3.41,72,0.91360168,1,207.0603777,48.37354649,7.615773106,29.27456234,25.49509757,22.8035085,21.09502311,29.27456234,0.233620488,0.260149854,0.123128808,83.55458196,87.67566667,85.09091667,66.29375,13.517,15.83141667,17.019,67,60.16666667,37.16666667,118.9166667,121.4166667,105.25,12,4.040583333
48,15.5,2.65,67,0.881092422,1,194.0231945,40.11234224,6,29.01723626,20.02498439,22.627417,19.84943324,29.01723626,0.206739933,0.206773655,0.103209229,85.91438322,91.95766667,95.8845,80.39083333,13.27666667,15.99516667,18.91233333,73.33333333,72.41666667,50.58333333,116.5833333,124.5,113.75,12,2.248333333
49,15.5,1.42,61,0.625603024,1,173.2339459,33.06055051,6,25.01999201,20.61552813,19.10497317,17.80449381,25.01999201,0.190843373,0.23980823,0.119003975,85.27832298,76.28411111,73.41311111,61.28855556,7.882222222,10.00444444,13.29733333,61.11111111,53.11111111,32.66666667,92.44444444,93.44444444,87.22222222,9,3.407777778
50,15.4,4.32,80,0.84375,1,224.0825741,48.09365863,6.708203932,30.6757233,26.07680962,22.47220505,24.16609195,30.6757233,0.214624715,0.218681198,0.11637143,82.16831047,89.11127273,87.75272727,67.88663636,9.991363636,12.42627273,14.56336364,71.54545455,65.45454545,39.72727273,111.2727273,114.7272727,98.72727273,11,4.198909091
51,15.4,3.19,70,0.930029155,1,201.0994779,43.0464865,4.472135955,27.51363298,20.22374842,20.1246118,19.6977156,27.51363298,0.214055685,0.162542546,0.100565892,87.3974378,73.3047,76.7729,61.1941,10.4191,12.4015,14.4178,57.3,56.6,35.2,94.9,101.4,90.6,10,3.541
52,15.3,3.3,71,0.922016926,1,200.1224625,47.09564736,6.32455532,26.92582404,23.34523506,18.38477631,23.85372088,26.92582404,0.235334139,0.234888088,0.116654746,78.02386756,83.11454545,85.40754545,71.69363636,10.25954545,12.53381818,14.80881818,66.09090909,64,45,105.8181818,113.1818182,104,11,4.475545455
53,15.3,2.56,64,0.9765625,1,180.1360597,41.10960958,6.08276253,25.07987241,22.09072203,19.10497317,18.60107524,25.07987241,0.228214216,0.242535625,0.122633536,83.37493413,79.23528571,79.75442857,62.63914286,12.42385714,14.493,16.86442857,60,56.71428571,32.71428571,109.2857143,114.2857143,99.71428571,7,4.417142857
54,14.8,1.35,52,0.960116067,1,155.157984,32.01562119,6.08276253,22.8035085,17.11724277,16.64331698,17,22.8035085,0.20634208,0.266746783,0.110321379,85.33726066,70.707875,68.27575,55.261,12.922,14.475375,16.52125,52.5,47.25,25.75,101.375,102.125,91.5,8,3.793375
55,14.8,3.36,72,0.900205761,1,205.0097559,46.04345773,7.071067812,27.45906044,23.19482701,19.10497317,23.60084744,27.45906044,0.224591545,0.257513101,0.113140113,79.26325542,90.71272727,91.43345455,74.47272727,10.37509091,12.18281818,12.44718182,75.45454545,71.90909091,52.36363636,116.9090909,121.7272727,104.1818182,11,5.974090909
56,14.8,2,60,0.925925926,1,170.2380686,36.12478374,6.32455532,25,17.11724277,17.80449381,20.59126028,25,0.21220156,0.252982213,0.100548854,80.89737751,90.71854545,91.279,71.38790909,11.15081818,13.16645455,15.72527273,75.36363636,72.90909091,47.54545455,114.3636364,119.2727273,102.5454545,11,2.346090909
57,14.8,3.01,72,0.806434328,1,201.0397971,40.01249805,6.32455532,27.29468813,21.02379604,20.61552813,20.24845673,27.29468813,0.199027748,0.231713779,0.104575295,83.81138404,97.49409091,93.17454545,75.459,9.368818182,11.19345455,12.10836364,84.09090909,76.72727273,55.54545455,121.1818182,120.3636364,102.1818182,11,3.762181818
58,14.8,2.08,62,0.872746803,1,175.071414,37.12142239,6.32455532,26.68332813,19,18.60107524,20.24845673,26.68332813,0.212035886,0.237022732,0.108527141,86.65140519,96.58408333,92.355,66.4295,12.65866667,15.39158333,18.3185,78.08333333,69.66666667,37.66666667,122.6666667,123.8333333,103.0833333,12,2.319083333
59,14.7,6.3,93,0.78323431,1,267.6060537,51.0881591,6,35.22782991,28.63564213,25.49509757,26.40075756,35.22782991,0.190908084,0.170319887,0.107006705,85.4837784,110.8135455,107.6313636,90.754,9.868545455,12.52463636,13.30709091,90.36363636,80.63636364,58.63636364,134.6363636,137.3636364,117.1818182,11,7.603
60,14.7,3.23,73,0.830297905,1,208.4706214,42.04759208,7.280109889,28.86173938,22.02271555,22.20360331,22.36067977,28.86173938,0.201695528,0.252240857,0.10563942,80.72739822,88.5219,88.9439,69.9097,12.5349,15.3992,18.4418,68.1,62.9,35.8,118.7,126.1,112.9,10,4.8587
61,14.7,3.9,78,0.821827745,1,220.0545387,46.04345773,7.615773106,43.56604182,26.07680962,21.54065923,37.33630941,43.56604182,0.209236574,0.174809847,0.118501576,91.42497427,92.73242857,90.11485714,73.60842857,11.03814286,13.70342857,13.94414286,76.57142857,69.57142857,49.14285714,124.5714286,129.7142857,112.1428571,7,7.279142857
64,13.8,4.69,82,0.85061157,1,234.4184293,48.0416486,6.08276253,29.42787794,23.08679276,20.61552813,22.20360331,29.42787794,0.204939726,0.206700685,0.0984854,86.74379407,111.4699167,116.4760833,91.41616667,13.45383333,15.12175,15.93375,89.66666667,89.41666667,58.91666667,144.3333333,151.5,122.75,12,5.732833333
65,13.8,3.36,72,0.900205761,1,204.1568025,44.10215414,7.280109889,28.44292531,22.02271555,20.24845673,19.41648784,28.44292531,0.216020988,0.255955033,0.107871574,91.60328006,88.54244444,94.65544444,71.72344444,13.75444444,16.08188889,17.40933333,67.22222222,68.44444444,40.22222222,115,125.8888889,106.2222222,9,4.837111111
66,13.6,3.77,76,0.858816883,1,213.0375554,46.04345773,6,30.2654919,23.19482701,21.21320344,24.20743687,30.2654919,0.216128361,0.19824558,0.108876705,83.29016319,74.06,83.480625,68.48325,10.861375,12.8855,14.77825,57,62.5,41.75,96.75,109.875,98.375,8,3.843
67,13.6,2.15,65,0.782885753,1,182.3951754,37.05401463,4.123105626,23.19482701,18,17.69180601,18.02775638,23.19482701,0.203152384,0.177759706,0.098686821,80.98067757,89.53533333,93.70077778,70.01955556,11.98177778,13.93588889,17.10455556,70.88888889,71.11111111,40.11111111,114,122.2222222,104.5555556,9,3.251555556
68,13.5,1.79,61,0.788612263,1,172.0465053,33,4,23.08679276,17.02938637,17.02938637,19.20937271,23.08679276,0.191808604,0.173259233,0.098981298,78.89616656,97.4596,102.4734,85.156,11.1119,13.6606,17.5255,76.3,75.6,49.7,118.5,127.8,117.8,10,4.6006
69,13.5,2.44,65,0.888484297,1,181.0248602,38.01315562,6.08276253,27.16615541,21,19.84943324,20,27.16615541,0.209988593,0.223909583,0.116006166,85.95551443,111.658625,118.81025,103.692375,8.973625,10.21975,11.322125,97.25,101.5,83.25,128.875,138,125.125,8,4.446375
70,13.4,2.97,68,0.94456035,1,196,44.28317965,6.32455532,26.30589288,21.37755833,20.51828453,21.09502311,26.30589288,0.22593459,0.240423518,0.109069175,78.40449963,82.5042,85.2345,70.3881,12.678,15.6361,17.413,60.2,56.7,35.3,111.5,121.2,108.8,10,5.6543
71,13.2,2.87,68,0.912756971,1,190.850727,43.0464865,5.099019514,25.70992026,20.22374842,20,20.1246118,25.70992026,0.22555055,0.198328873,0.105966316,79.69515353,101.866375,102.45175,79.810375,14.46,16.983125,20.0345,80,75.75,46.125,129.75,134.5,116.75,8,3.292
72,13.1,2.98,61,1.312885219,1,189.1295852,42.10700654,8.062257748,30.41381265,21.02379604,19.84943324,23.43074903,30.41381265,0.222635747,0.265085402,0.1111608,88.89118787,93.91188889,104.7996667,88.90555556,11.83811111,14.89622222,19.34122222,75,80.33333333,55.22222222,119.3333333,135.3333333,127.8888889,9,3.786111111
73,13,2.44,68,0.776002442,1,189.066126,39.01281841,7.071067812,25.3179778,22.02271555,20.61552813,19.23538406,25.3179778,0.206344834,0.279290387,0.116481551,78.80341214,80.867125,82.050875,66.13375,11.25225,13.872625,17.05825,60,55.75,30.75,105.875,113.125,102.625,8,5.293375
74,12.6,4.91,81,0.923903124,1,233.0772404,48.01041554,6.08276253,32.01562119,24.18677324,23.34523506,24.08318916,32.01562119,0.205985001,0.189993581,0.103771493,84.89783475,121.2105556,122.2307778,100.8933333,16.29933333,19.11388889,18.61833333,93.66666667,89.55555556,63.44444444,154.8888889,161.7777778,137,9,7.333555556
75,12.6,5.86,82,1.062811045,1,246.2031681,53.08483776,8.246211251,32.55764119,24,25.8069758,23.70653918,32.55764119,0.215613951,0.253280365,0.097480468,82.10829757,96.11,108.5672857,90.95542857,17.19814286,21.38642857,22.28328571,69.71428571,74.71428571,52.42857143,137.7142857,158.7142857,140.8571429,7,8.691714286
76,12.4,2.79,70,0.813411079,1,195.5019181,39.11521443,7.280109889,23.53720459,20.02498439,17.02938637,18.86796226,23.53720459,0.20007586,0.309302231,0.102428583,81.7690249,67.382,71.661375,59.064375,9.59025,12.000625,13.87925,53.875,54.5,36.75,87.375,96.375,86.625,8,3.318625
77,12.4,2.58,65,0.939462904,1,185.1944924,39.45883931,5.099019514,25.49509757,20.22374842,18.02775638,18.02775638,25.49509757,0.213067024,0.2,0.109202753,90,88.19788889,90.53822222,75.10511111,12.86344444,15.614,16.31422222,69.44444444,66,46.55555556,120.8888889,130,115.6666667,9,5.473
78,11.7,3.88,68,1.233971097,1,193.165732,40,5.099019514,26.17250466,23.53720459,19.84943324,19.41648784,26.17250466,0.207076067,0.194823521,0.121849794,83.59413977,74.862,76.28122222,65.27922222,10.27322222,11.47433333,11.98411111,60.77777778,59.22222222,42.77777778,102.5555556,105.5555556,93.11111111,9,4.914777778
79,11.2,1.95,61,0.859102744,1,172.0261608,36.05551275,6.08276253,23.02172887,18.11077028,18.38477631,17.20465053,23.02172887,0.209593196,0.26421832,0.105279163,80.53767779,61.5946,67.1489,57.9686,6.4696,7.977,11.2814,51.1,54.3,38,76.7,85.4,82.9,10,3.6652
80,10.3,2.37,61,1.044140258,1,185.0108105,38.11823711,5,24.33105012,20,17.69180601,19.41648784,24.33105012,0.206032485,0.205498734,0.108101791,81.79913303,80.5456,83.9778,77.8463,9.2143,11.468,14.0709,66,65,52.9,100.7,108.8,108.2,10,4.4542
81,18.7,1.25,50,1,2,153.6391877,31.25699922,6.32455532,21.21320344,16.2788206,15.62049935,15.8113883,21.21320344,0.203444184,0.298142397,0.105954873,84.88958244,99.52675,101.596,77.550125,20.247375,27.7085,39.602625,73.875,66.5,17,139.625,156.25,145.875,8,2.621
82,18.5,2.22,60,1.027777778,2,178.4740878,39.11521443,5.385164807,25.49509757,21.02379604,20.59126028,16.55294536,25.49509757,0.219164669,0.211223542,0.11779747,85.96228938,119.159,121.1585455,98.35781818,17.70654545,23.27145455,31.32472727,92.81818182,85.90909091,45.36363636,155.6363636,168.1818182,159.3636364,11,3.503363636
83,18.2,1.59,57,0.858563769,2,166.4812302,38.32753579,5.385164807,20.59126028,16.76305461,17.08800749,16.1245155,20.59126028,0.230221363,0.261526722,0.100690358,76.56897113,80.74033333,75.44166667,50.77188889,9.892555556,13.3,23.38822222,67.55555556,57.44444444,10.22222222,104.4444444,107.7777778,98.22222222,9,2.847444444
